,,cycle,cycle,cycle,cycle,cycle,cycle,cycle,cycle,dt_bet,dt_bet,dt_bet,dt_bet,dt_bet,dt_bet,dt_bet,dt_bet
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
asset,zone,,,,,,,,,,,,,,,,
M12,B,400.0,200.5,115.61430130683084,1.0,100.75,200.5,300.25,400.0,400,0 days 00:13:30.575000,0 days 00:04:13.120028,0 days 00:04:04,0 days 00:10:29,0 days 00:12:57,0 days 00:16:24.250000,0 days 00:25:20
M12,BE1,173.0,192.4450867052023,116.84552335225929,2.0,87.0,198.0,296.0,398.0,173,0 days 00:05:08.485549,0 days 00:02:38.743159,0 days 00:00:18,0 days 00:03:08,0 days 00:04:58,0 days 00:07:02,0 days 00:10:53
M12,BE2,161.0,194.2608695652174,114.40440997504918,6.0,97.0,190.0,293.0,394.0,161,0 days 00:05:26.186335,0 days 00:02:25.595037,0 days 00:01:03,0 days 00:03:38,0 days 00:05:18,0 days 00:07:07,0 days 00:11:03
M12,BW1,300.0,203.72333333333333,116.93136134691883,1.0,100.75,201.5,306.25,400.0,300,0 days 00:06:10.530000,0 days 00:02:35.250652,0 days 00:00:46,0 days 00:04:22.250000,0 days 00:06:01.500000,0 days 00:07:51,0 days 00:14:35
M12,BW2,176.0,189.5568181818182,116.9668434537432,1.0,91.0,174.5,292.75,398.0,176,0 days 00:05:04.778409,0 days 00:02:37.373266,0 days 00:00:25,0 days 00:03:03.750000,0 days 00:04:35.500000,0 days 00:07:01.250000,0 days 00:12:21
M12,F,400.0,200.5,115.61430130683084,1.0,100.75,200.5,300.25,400.0,400,0 days 00:36:14.927500,0 days 00:07:35.995435,0 days 00:21:30,0 days 00:29:42.750000,0 days 00:35:47.500000,0 days 00:42:25.500000,0 days 00:57:33
M12,I,325.0,202.24923076923076,116.15340553868235,1.0,102.0,204.0,302.0,400.0,325,0 days 00:06:00.956923,0 days 00:02:32.013679,0 days 00:00:35,0 days 00:04:18,0 days 00:05:57,0 days 00:07:27,0 days 00:14:51
M12,O,306.0,205.66339869281046,113.66220200290294,2.0,110.25,205.5,303.25,400.0,306,0 days 00:05:53.905228,0 days 00:02:28.971889,0 days 00:00:31,0 days 00:04:02.250000,0 days 00:05:39,0 days 00:07:37.250000,0 days 00:12:58
M13,A,400.0,200.5,115.61430130683084,1.0,100.75,200.5,300.25,400.0,400,0 days 00:13:29.037500,0 days 00:04:00.427910,0 days 00:04:35,0 days 00:10:33.750000,0 days 00:13:15,0 days 00:15:52.500000,0 days 00:26:40
M13,AE1,294.0,201.3095238095238,118.82494700968472,1.0,96.75,197.0,309.75,400.0,294,0 days 00:05:40.289115,0 days 00:02:38.250917,0 days 00:00:39,0 days 00:03:50.250000,0 days 00:05:21.500000,0 days 00:07:29.750000,0 days 00:14:53
M13,AE2,282.0,205.2127659574468,115.94840603199943,1.0,97.25,211.5,307.75,398.0,282,0 days 00:06:12.719858,0 days 00:02:34.981859,0 days 00:00:45,0 days 00:04:21.250000,0 days 00:06:09,0 days 00:07:52.500000,0 days 00:13:02
M13,AW1,189.0,194.57142857142858,117.57669035783204,3.0,91.0,188.0,289.0,400.0,189,0 days 00:05:17.592592,0 days 00:02:31.466898,0 days 00:00:28,0 days 00:03:27,0 days 00:05:20,0 days 00:06:58,0 days 00:11:24
M13,AW2,186.0,204.18279569892474,113.49308313121249,2.0,113.25,201.5,291.75,400.0,186,0 days 00:05:14.182795,0 days 00:02:29.390107,0 days 00:00:22,0 days 00:03:23,0 days 00:05:00,0 days 00:06:34,0 days 00:11:52
M13,B,400.0,200.5,115.61430130683084,1.0,100.75,200.5,300.25,400.0,400,0 days 00:13:13.205000,0 days 00:04:00.291370,0 days 00:04:23,0 days 00:10:19,0 days 00:13:07,0 days 00:15:45.250000,0 days 00:28:59
M13,BE1,159.0,193.0314465408805,113.8723703379151,3.0,90.0,189.0,283.5,397.0,159,0 days 00:05:09.188679,0 days 00:02:37.888807,0 days 00:00:13,0 days 00:03:00.500000,0 days 00:05:06,0 days 00:07:03,0 days 00:11:37
M13,BE2,169.0,198.20710059171597,116.5176195412831,3.0,98.0,200.0,298.0,396.0,169,0 days 00:04:55.692307,0 days 00:02:27.728878,0 days 00:00:08,0 days 00:02:49,0 days 00:04:45,0 days 00:06:44,0 days 00:10:34
M13,BW1,305.0,202.0032786885246,116.26338345033705,1.0,99.0,205.0,306.0,400.0,305,0 days 00:06:12.911475,0 days 00:02:27.953657,0 days 00:00:48,0 days 00:04:36,0 days 00:06:01,0 days 00:07:50,0 days 00:15:19
M13,BW2,159.0,208.8930817610063,122.01030207566303,2.0,92.5,224.0,318.5,395.0,159,0 days 00:05:09.069182,0 days 00:02:26.140132,0 days 00:00:18,0 days 00:03:13.500000,0 days 00:05:06,0 days 00:06:47,0 days 00:11:48
M13,F,400.0,200.5,115.61430130683084,1.0,100.75,200.5,300.25,400.0,400,0 days 00:35:57.760000,0 days 00:07:27.482389,0 days 00:20:22,0 days 00:30:10.500000,0 days 00:35:40.500000,0 days 00:41:39.250000,0 days 00:57:55
M13,I,307.0,199.09771986970685,114.48470897703002,1.0,102.5,199.0,292.5,400.0,307,0 days 00:05:58.641693,0 days 00:02:22.036847,0 days 00:00:07,0 days 00:04:24.500000,0 days 00:05:53,0 days 00:07:40.500000,0 days 00:12:51
M13,O,313.0,199.61980830670927,113.37530930594873,1.0,104.0,197.0,292.0,400.0,313,0 days 00:05:58.159744,0 days 00:02:33.219509,0 days 00:00:29,0 days 00:04:05,0 days 00:05:46,0 days 00:07:47,0 days 00:13:31
